subject,min_grade,max_grade,overview,objectives_outcomes,comment
Reading & Writing,K,K,"Introduce the lesson by asking about letters. Potential questions include: Where do you find letters in your home? Can you tell me where letters can be found in our classroom?
Play the Animals ABC Song for the class.
Referring to the song, ask a few volunteers to name one letter and the animal that matches.","Students will recall and recognize letters and letter sounds based on objects that begin with the letters A, B, and C.",
Math,K,K,Begin the lesson by playing the Preschool Shapes Song for your students. Practice integrating movement into the song by having students draw out the shapes with their fingers or forming the shapes with their arms.,"Students will be able to identify, name, and recreate one dimensional shapes.",
Math,K,K,"Tell the students that they will be learning about different kinds of two-dimensional (2D), or flat, shapes.
Explain that 2D shapes are flat shapes, and point to one example in the classroom.
Read A Triangle for Adaora to the students.
Prior to reading each page, ask your students to name any types of shapes that they recognize.","Students will be able to identify circles, squares, rectangles, and triangles. Students will be able to locate examples of circles, squares, rectangles, and triangles in the world around them. Students will be able to compare various types of shapes.",
Reading & Writing,K,K,"Gather your students where they can easily see your interactive whiteboard.
Explain that you're going to play a song about a sight word.
Remind your students that a sight word is a word they will know without having to sound it out.
Play the Am Song video by Have Fun Teaching on the whiteboard.
Invite your students to stand and move to the music.
Ask your students to name the target word.",Students will be able to read and write the sight word 'am.',
Reading & Writing,K,K,"Review the alphabet with students. Go through each letter, or symbol in the alphabet, individually, and ask your class to repeat the sounds, or noises, after you.
Remind your students that each letter has a special sound.",Students will be able to identify the letters and sounds needed to complete a word.,
Reading & Writing,K,K,"Start singing the alphabet song. Students should follow along.
Ask students to look at the alphabet chart and say it slowly.
Ask students if they know what vowels and consonants are.
Explain to students that each letter has a purpose when it comes to sound, writing, spelling, and talking.","Students will be able to differentiate between vowels and consonants.
Students will be able to write a letter or letters to represent consonant and short-vowerl sounds.Students will be able to differentiate between vowels and consonants.Students will be able to write a letter or letters to represent consonant and short-vowerl sounds.",
Reading & Writing,K,K,"Ask your students to recite the alphabet. Afterward, have them say which of the letters are vowels.
As the class says the vowels, write them on the board. If necessary, remind the class that the vowels are A, E, I, O, and U.
Tell your students that they will be focusing on the /ă/ sound.
Ask your students for examples of the difference between the long and short A sounds. Possible answers include: gate and pat.","Students will match the letter A with the /ă/ (short A) sound.
Students will practice identifying the short A sound in the -ad and -at word families.Students will match the letter A with the /ă/ (short A) sound.Students will practice identifying the short A sound in the -ad and -at word families.",
Reading & Writing,K,K,"Introduce the concept of rhyming words to your students. Explain that rhyming words are words that have the same ending sounds. For example, 'cat' and 'hat' are rhyming words.
Read aloud some entries from your book of nursery rhymes, and emphasize the rhyming words as you go along.
After each rhyme, ask students to tell you what rhyming words they noticed.",Students will be able to identify rhyming words.Students will be able to identify rhyming words.,
Social Studies,K,K,"Introduce the topic by asking some questions, such as: What is a hero? What is a community?
Write down the class answers on a large sheet of butcher paper or whiteboard.
Define hero as a person who is admired for their bravery, and they way they help others. Ask the class to call out some heroes.
Define community as a neighborhood where people work and live.
Tell the class that community heroes are people who help keep us safe, healthy, and happy in our neighborhood.",Students will be able to write at least two sentences about their favorite hero using the information learned during the lesson.Students will be able to write at least two sentences about their favorite hero using the information learned during the lesson.,
Math,K,K,"At your group meeting area, choose two students for a demonstration.
Give each student a paper plate and some marshmallows, or other manipulative, making sure they do not get the same amount.
Ask students who has more or less marshmallows and how they know.","Students will be able to compare two numbers between 0 and 10 using greater than, less than, or equal to.",
Math,K,K,"Tell your students that today they will be conducting experiments using colors.
Have each student take turns going around the room and identifying the color of one object in the room, such as a clock or a book.
Ask each student to tell you his favorite color.",Students will be able to identify the basic colors. Students will be able to make predictions and observations. Students will be able to take part in experiments. Students will be able to sort colors into categories.,
Math,K,K,"Sing the Tall and Short action song to the tune of 'Are You Sleeping' (Frère Jacques): This is tall. (Open hands as wide as possible vertically.) This is short (Place hand an inch apart.) Tall and short. (Open hands wide vertically; then, bring them close together, x2.) Hotels are tall. (Raise one hand high in the air.) Puppies are short. (Place hand low to the ground.) Tall and short. (Open hands wide vertically then bring them close together, x2.)
Sing it by yourself first, and have your students sing along the second time.",Students will be able to differentiate between short and tall.,
Reading & Writing,K,K,"Tell students they will be learning about things that are real and make believe. Explain that real things exist and we can see, hear, feel, taste, or touch them, while make believe is when something cannot happen in real life because it doesn't actually exist.
Tell students to listen attentively to Goldilocks and the Three Bears.
Play the story.
Ask the class if they think everything in the story could actually happen.",Students will be able to decide if something is real or make believe and speak clearly about the topic.,
Math,K,K,"Draw circles of two different sizes on the board. Ask, “Which is bigger?”
Have students turn and talk to a partner about which circle is bigger.",Students will compare objects based on their size.,
Reading & Writing,K,K,"Sing the letter M song. Lyrics to the tune of Mary Had a Little Lamb: Letter M says, /m/ /m/ /m/ x3, Letter M say /m/ /m/ /m/ , like mop, magic, and Mary.
Have students listen as you sing the song once.
Allow them to sing along as you sing the song again.
Ask the class what letter they think they will be learning about today.",Students will be able to identify the letter M and select things that begin with the letter M.,
Reading & Writing,K,1,"Call students together.
Show students the red and green apples.
Ask students to list as many similarities and differences as they can between the two types. (Push students to think past the obvious. For example, it can be fun to cut the apples open and see how many seeds each has.)
After completing these lists, remind students that another way to describe what they just did was comparing and contrasting. Ask students to identify which were comparing and which were contrasting the apples.","At the conclusion of this lesson, students will be able to compare and contrast two nonfiction books on the same topic.",
Reading & Writing,K,K,"Read the book Born Yesterday by James Solheim aloud to the class.
Ask students what they learned about the main character in the story.
Briefly discuss what a diary or journal is (a place to write down things about your life and how you see the world).
Explain that today your students will begin their very own school diaries or journals.",Students will be able to identify and write the letter that represents the beginning sound in a word.,
Social Studies,K,1,Tell students that today they are going to be learning about goods and services.,Students will be able to differentiate between goods and services and be able to understand why goods and services are essential to our lives and economy.,
Reading & Writing,K,K,Sing an octopus finger play song with class. For example: Eight arms crawling in the sea. I have no bones. I’m so slippery. (Lock thumbs together and wiggle the other eight fingers.) I see one crab. I’m so hungry. (Clap hands one time.) Eight arms crawling in the sea. I have no bones. I’m so slippery. (Lock thumbs together and wiggle other the eight fingers.) I see two crawfish. I’m so hungry. (Clap hands one time.) Eight arms crawling in the sea. I have no bones. I’m so slippery. (Lock thumbs together and wiggle other eight fingers.) I see three fish. I’m so hungry. (Clap hands one time.),Students will be able to discuss facts about the octopus. Students will be able to create and paint an octopus. Students will be able to conduct an experiment to demonstrate an octopus using ink.,
Reading & Writing,K,K,Play the Letter J song by Little Fox.,Students will be able to identify words that begin with the letter J. Students will be able to act out a nursery rhyme. Students will be able to sequence a nursery rhyme.,
Science,K,1,"Tell your students that they will be learning about the parts of a tree today.
Ask your students if they know about any parts of a tree.",Students will be able to describe the different parts of a tree.,
Math,K,K,"Tell students they will be learning about patterns today. Tell students that a pattern is a design that repeats.
Sing the pattern action song with the class:
Patterns happen all the time.
It's pattern, pattern, pattern time. (Clap three times)
It's something that happens over and over again. (Roll hands around each other)
Sing the song first, only letting the class listen. Then encourage students to join in as you sing it again.",Students will be able to identify what a pattern is and predict what should come next in patterns. Students will be able to create an AB pattern.,
Math,K,K,"Ask students to help you prepare vegetable soup. Imitate going to the grocery store to purchase vegetables.
Then, have all the students use their imagination to pretend to pour water in a pot to cook vegetables.
Show students how to imitate chopping up vegetables, scooping them off of the chopping board and into the water.
Remind them to wait for the water to boil in order for the soup to be able to 'cook.'
In the meantime, pretend to add salt, pepper, water, and other ingredients for extra flavor.",Students will be able to use addition through various combinations of numbers up to 10.,
Reading & Writing,K,1,"Gather students in a common area and read The Hungry Caterpillar as you would normally read a book, pointing out the author and illustrator and making predictions.
After reading, inform students that there are many words within the story that begin with the consonant blend “th”.
Write the digraph “th” on the dry erase board or chart paper and say the sound /th/. Have the students repeat the sound.
Ask students if they can think of any words that begin with the /th/ sound. Call on three or four students.",Students will be able to identify and build common words beginning with the digraph 'th'.,
Reading & Writing,K,1,"Hold up the pictures in front of the class.
Ask students to tell you different things about the pictures.
Write their sentences on the board.","Students will be able to identify, critique, and rewrite telling sentences correctly.","Not very descriptive. ""Hold up the pictures"""
Reading & Writing,K,K,"Gather your class together and sing the alphabet song, pointing to each letter as you sing (using a class alphabet chart or letters you have written on the whiteboard).
Ask your class to share what they know about the alphabet. Answers might include that there are 26 letters, that the letters make sounds, or that you can use the letters to make words.
Explain that today you will be thinking about the sound each letter makes.",Students will be able to identify and draw images that correspond to letter sounds.,
Reading & Writing,K,K,"Project the 'Apples and Bananas' song from the Learning Station.
Tell the students that today you will be learning about the long sounds that each vowel makes.",Students will be able to identify and pronounce the sounds for long vowels.,
Math,K,K,"Take out two cups of different sizes. Show students the snap cubes. Tell them that you are going to fill each cup with snap cubes. Ask which cup they think will hold more.
Have students turn and talk to a partner to share which cup they think will hold more.",Students will compare which container holds more.,
Math,K,K,"Gather your students where they can see the interactive whiteboard.
Load and watch the Number Pairs song.
Invite your students to sing along as you play the song again.
Ask your students to name some of the pairs in the song.
Ask your students what sum all of the pairs added up to.
Tell your students they will be playing a game to find the pairs that make ten.
Tell your students that the pairs are the 'friends of ten.”",Students will be able to use objects to decompose the number ten.,
Science,K,K,"Have your students look at their hands. Ask them if they know what fingerprints are. Tell them that their fingerprints are different from those of every other person in the entire world.
Let them know that they are going to make some fingerprint art today. They will have some time to examine their own fingerprints, as well as compare them to those of other students in the class.",Students will be able to name each of the fingers on a hand.,
Reading & Writing,K,1,"Tell the students that today, they're going to be reading a book about what they see.
Tell them, 'You will have to use your eyes to find certain objects after we finish reading the story.'",Students will be able to identify the phonetic sounds of different letters in the alphabet.,
Reading & Writing,K,1,Tell the students that they will be listening to a story.,Students will be able to identify different common sounds.,
Reading & Writing,K,K,"Talk to the students about getting ready to move to first grade.
Tell them you are going to read them a book that will help them understand their feelings about going to first grade.",Students will be able to reflect on their own feelings about moving to first grade.,
Math,K,K,"Begin the lesson with an introduction to counting, asking questions about students' favorite objects or food. Good discussion questions include: Have you ever had to count something you had, such as candy, toys, or even money? How do you know you have more or less of something?
Explain that today, the class will learn about greater than, less than, and equal to.","Students will be able to compare numbers by identifying them as greater than, less than, or equal to each other.",
Math,K,K,"Tell your students that they are going to be counting raindrops today.
Have them sit in a circle.
Drop the large model raindrops so that they fall in the middle.
Tell your students that the challenge is to count the raindrops in different ways.",Students will be able to construct a piece of raindrop artwork in which they correctly count and label the number of raindrops and order the numbers correctly.Students will be able to construct a piece of raindrop artwork in which they correctly count and label the number of raindrops and order the numbers correctly.,
Math,K,K,"Read aloud One Fish, Two Fish, Red Fish, Blue Fish by Dr. Seuss.
Tell your students that they have the challenge of counting fish and keeping numbers in the correct order!",Students will be able to correctly order numbers and demonstrate an understanding of correct one-to-one correspondence between numbers and objects.Students will be able to correctly order numbers and demonstrate an understanding of correct one-to-one correspondence between numbers and objects.,
Reading & Writing,K,K,"Have your students go on a treasure hunt to find the sight words of the day!
After cutting out the sight word flash cards and placing each word in a mystery bag around the room, have your students walk around the room with a partner and find the hidden sight words.
After your students have found all of the words, tell them that they will be working on spelling and saying A sight words!",Students will be able to read and write common high frequency words that start with the letter A. Students will be able to manipulate letters to correctly spell high frequency words.,
Reading & Writing,K,1,"Tell students that today, they will be learning about tracing letters of the alphabet.
Show them the sheet protectors holding the red and blue lined manuscript sheets.
Tell them that they will be using markers to trace the letters.",Students will be able to identify and trace letters of the alphabet in the correct format.,
Reading & Writing,K,K,"Sing the Peanut Butter and Jelly song to the tune of Mary Had a Little Lamb, and encourage your students to sing along: Peanuts go crunch, crunch, crunch, crunch, crunch, crunch (x2). Peanuts go crunch, crunch, crunch, making peanut butter. Grapes go squish, squish, squish, squish, squish, squish (x2). Grapes go squish, squish, squish, making grape jelly. The bread goes together, together, together. The bread goes together, making PB and J.",Students will be able to identify the letter S and the sound it makes. Students will be able to follow steps to make a sandwich.,
Reading & Writing,K,K,"Play That's How A Pumpkin Grows.
Ask the students if anyone has ever grown a pumpkin.
Explain that today, they will learn how pumpkins grow!",Students will be able to identify the steps in a pumpkin's life cycle including identifying what plants need to live.,
Science,K,K,"Tell your students that they will be learning about their sense of sight today.
Ask your students if they know what the word sight means.",Students will be able to identify their sense of sight. Students will be able to describe the purpose of sight.,
Reading & Writing,K,K,"Display the images of things that begin with F so that all of your students can see them. Possible images could include: flag, frog, fish, fan, football, flower, fire, etc.
Go through the items one-by-one, having your students say the name of each item aloud.
Ask students what all the pictures have in common. After a few students answer, explain that today the class will be learning about the letter F.",Students will be able to identify words that begin with the letter F. Students will be able to make the sound of the letter F. Students will be able to form the letters Ff.,
Reading & Writing,K,K,"Begin the lesson with engaging questions such as: Have you ever read words from a newspaper or book that you did not know how to say? How can we learn about new words we find?
Show students the list of sight words that students will work on.
Explain to students that they will seek these sight words around the classroom with a buddy. Once they find the sight word, they will say the word, put the word together and write it on their sight word list.",Students will be able to recognize high frequency sight words by sight through letter recognition.,
Reading & Writing,K,K,"Give students a simple riddle to guess the animal they will learn about. For example: This animal has two wings and flutters around outside. What could it be?
Flutter around like a butterfly, weaving in and out of students. Choose a few students or all to join.
Ask students what they know about butterflies. Ask them the letter sound they hear at the beginning of the word butterfly.",Students will be able to identify stages of the butterfly life cycle. Students will be able to reenact the four stages of the butterfly cycle.,
Science,K,K,"Draw a KWL chart on the board.
Ask students what they already know about the life cycle of a butterfly. Fill in the 'K' column.
Ask students what they would like to learn about the life cycle of a butterfly and fill in the 'W' column.
Play the 'Butterfly, Butterfly!' song.
Pick out key words from the song, such as butterfly, caterpillar, chrysalis, and egg. Include a picture and a simple definition for each word.","Students will be able to identify the main topic of a text.
Students will be able to retell key details of a text.
Students will be able to identify the sequence of a butterfly’s life cycle.Students will be able to identify the main topic of a text.Students will be able to retell key details of a text.Students will be able to identify the sequence of a butterfly’s life cycle.",
Reading & Writing,K,K,"The day before your lesson, instruct your students to bring pictures from home that they can paste into a book that they will make.
Explain to your students that they are going to be discussing families.
Discuss with your students what family means to them. Potential discussion questions include:
'How do families work together?'
'Who is a part of a family, what are some things family members do for each other?'
'What events do they share with each other?'
'What are some places they go together?'
'How are families the same and how are they different?'
'What do families around the world look like?'
'How do you feel about your family?'
List on the board some details students share.",Students will be able to describe what they already know about families by sharing relevant details and facts about their own families.,
Reading & Writing,K,K,"Tell the students that they will be learning about the different parts of a book in today's lesson.
Ask them if they know any parts of a book off the top of their head, and jot them down on the whiteboard.",Students will be able to correctly identify parts of a book.,
Math,K,2,"Gather the students together and show them your cup of water, tea, or coffee.
Ask the students to think-pair-share what the maximum amount of liquid your cup can hold is called.
Allow a few students to share their ideas with the rest of the class.
Explain to the students that the maximum amount of liquid your cup can hold is called its capacity.
Tell the students that today they will be comparing the capacity of different containers based on the container's attributes.",Students will be able to compare the capacity of different containers based on the container's attributes.,
Reading & Writing,K,1,"Introduce the book the class will be reading.
Let the students know they will be working on asking questions about key details in the story in order to improve their understanding of what they read.
Tell them that good readers ask questions before they read, as they read, and after they read. That is how a good reader knows the meaning of what he reads.
Remind them that using question words is one of the ways we can improve in understanding what we read. When readers get confused, they stop and ask questions to make sure they understand before reading more.
Question words are words such as who, what, when, where, why, and how.
Ask the students about how to answer each of the question words. You can guide them by letting them know that 'who' can be answered with the name of a person, for example.",Students will be able to ask and answer questions about key details in a text.,
Math,K,K,"Sit with your students in a circle.
Put ten plastic bugs in a pile in front of you.
Ask your students to guess how many bugs there are.
Ask your students to think of a way to make the bugs easy to count.
Arrange the bugs in an orderly line.
Count the bugs out loud with your students.
Tell your students that they will be using bugs to solve addition problems.",Students will be able to use objects to add numbers up to ten.,
